line,band_idx,svg_x,mile_from_terminal,abs_mile,carrier,score,has_reception
1,0,364,6.678,5.742,sprint,0.0,False
1,0,369,6.782,5.847,att,0.0,False
1,0,369,6.782,5.847,tmobile,0.0385,True
1,0,369,6.782,5.847,verizon,0.0385,True
1,0,369,6.782,5.847,sprint,0.0,False
1,0,374,6.887,5.951,att,0.0,False
1,0,374,6.887,5.951,tmobile,0.0,False
1,0,374,6.887,5.951,verizon,0.0385,True
1,0,374,6.887,5.951,sprint,0.0,False
1,0,379,6.991,6.055,att,0.0,False
1,0,379,6.991,6.055,tmobile,0.0385,True
1,0,379,6.991,6.055,verizon,0.0,False
1,0,379,6.991,6.055,sprint,0.0,False
1,0,384,7.095,6.16,att,0.0,False
1,0,384,7.095,6.16,tmobile,0.0,False
1,0,384,7.095,6.16,verizon,0.0,False
1,0,384,7.095,6.16,sprint,0.0,False
1,0,389,7.2,6.264,att,0.0,False
1,0,389,7.2,6.264,tmobile,0.0,False
1,0,389,7.2,6.264,verizon,0.0385,True
1,0,389,7.2,6.264,sprint,0.0,False
1,0,394,7.304,6.368,att,0.0,False
1,0,394,7.304,6.368,tmobile,0.0,False
1,0,394,7.304,6.368,verizon,0.0,False
1,0,394,7.304,6.368,sprint,0.0,False
1,0,399,7.408,6.473,att,0.0,False
1,0,399,7.408,6.473,tmobile,0.0,False
1,0,399,7.408,6.473,verizon,0.0,False
1,0,399,7.408,6.473,sprint,0.0,False
1,0,404,7.513,6.577,att,0.0,False
1,0,404,7.513,6.577,tmobile,0.0,False
1,0,404,7.513,6.577,verizon,0.0,False
1,0,404,7.513,6.577,sprint,0.0,False
1,0,409,7.617,6.681,att,0.0,False
1,0,409,7.617,6.681,tmobile,0.0,False
1,0,409,7.617,6.681,verizon,0.0,False
1,0,409,7.617,6.681,sprint,0.0,False
1,0,414,7.721,6.786,att,0.0,False
1,0,414,7.721,6.786,tmobile,0.0385,True
1,0,414,7.721,6.786,verizon,0.0385,True
1,0,414,7.721,6.786,sprint,0.0,False
1,0,419,7.826,6.89,att,0.0,False
1,0,419,7.826,6.89,tmobile,0.0,False
